(383s) Epoch=0, Group=0loss: 64854.741992,  ess_vae: 1.000666,  density: -64976.402852
(379s) Epoch=0, Group=1loss: 51960.449219,  ess_vae: 1.001141,  density: -52035.456211
(379s) Epoch=0, Group=2loss: 51036.924141,  ess_vae: 1.004448,  density: -51077.366543
(379s) Epoch=0, Group=3loss: 51370.771621,  ess_vae: 1.002375,  density: -51401.660039
(379s) Epoch=0, Group=4loss: 50627.926836,  ess_vae: 1.000325,  density: -50652.419219
(379s) Epoch=0, Group=5loss: 50380.204121,  ess_vae: 1.002385,  density: -50399.406406
(378s) Epoch=0, Group=6loss: 50348.347539,  ess_vae: 1.002532,  density: -50362.534727
(379s) Epoch=0, Group=7loss: 50066.676113,  ess_vae: 1.003502,  density: -50071.589297
(378s) Epoch=0, Group=8loss: 49973.620156,  ess_vae: 1.002055,  density: -49970.511582
(379s) Epoch=0, Group=9loss: 50017.883887,  ess_vae: 1.002836,  density: -50013.238418
(379s) Epoch=0, Group=10loss: 50206.679160,  ess_vae: 1.000796,  density: -50202.300566
(380s) Epoch=0, Group=11loss: 50718.945645,  ess_vae: 1.002870,  density: -50714.414570
(380s) Epoch=0, Group=12loss: 50713.503477,  ess_vae: 1.001313,  density: -50709.113672
(378s) Epoch=0, Group=13loss: 50166.113340,  ess_vae: 1.002609,  density: -50161.288535
(379s) Epoch=0, Group=14loss: 50145.259082,  ess_vae: 1.004283,  density: -50137.963223
(380s) Epoch=0, Group=15loss: 50522.329395,  ess_vae: 1.003783,  density: -50514.003867
(379s) Epoch=0, Group=16loss: 49686.860527,  ess_vae: 1.007065,  density: -49674.914570
(379s) Epoch=0, Group=17loss: 50146.164492,  ess_vae: 1.001858,  density: -50133.475176
(379s) Epoch=0, Group=18loss: 50649.920215,  ess_vae: 1.001654,  density: -50636.867441
(379s) Epoch=0, Group=19loss: 50184.839688,  ess_vae: 1.002814,  density: -50170.413027
(380s) Epoch=0, Group=20loss: 50334.255254,  ess_vae: 1.002794,  density: -50318.978594
(380s) Epoch=0, Group=21loss: 50616.390000,  ess_vae: 1.000688,  density: -50601.414336
