(321s) phi_loss: 337.738,  theta_loss: 38911.386,  ess: 1.120
(322s) phi_loss: -153.868,  theta_loss: 15146.001,  ess: 1.186
(322s) phi_loss: -353.438,  theta_loss: 10111.094,  ess: 1.331
(325s) phi_loss: -465.758,  theta_loss: 7219.562,  ess: 1.478
(325s) phi_loss: -546.027,  theta_loss: 5470.317,  ess: 1.589
(326s) phi_loss: -588.243,  theta_loss: 4496.782,  ess: 1.655
(323s) phi_loss: -609.480,  theta_loss: 4014.277,  ess: 1.686
(324s) phi_loss: -619.438,  theta_loss: 3690.432,  ess: 1.695
(325s) phi_loss: -623.513,  theta_loss: 3399.233,  ess: 1.691
(322s) phi_loss: -632.188,  theta_loss: 3167.245,  ess: 1.672
(325s) phi_loss: -646.212,  theta_loss: 3044.924,  ess: 1.668
(321s) phi_loss: -665.471,  theta_loss: 3431.587,  ess: 1.696
(324s) phi_loss: -721.609,  theta_loss: 5665.434,  ess: 1.834
(326s) phi_loss: -680.087,  theta_loss: 2934.522,  ess: 1.733
(326s) phi_loss: -701.440,  theta_loss: 3943.564,  ess: 1.772
(331s) phi_loss: -725.483,  theta_loss: 5076.229,  ess: 1.810
(324s) phi_loss: -697.628,  theta_loss: 2901.319,  ess: 1.776
(324s) phi_loss: -711.538,  theta_loss: 3429.426,  ess: 1.789
(323s) phi_loss: -715.458,  theta_loss: 2838.258,  ess: 1.783
(323s) phi_loss: -730.890,  theta_loss: 3538.114,  ess: 1.825
(327s) phi_loss: -760.337,  theta_loss: 5239.704,  ess: 1.812
(324s) phi_loss: -760.395,  theta_loss: 3707.793,  ess: 1.937
(323s) phi_loss: -739.987,  theta_loss: 3311.864,  ess: 1.824
(332s) phi_loss: -742.829,  theta_loss: 3282.591,  ess: 1.846
(323s) phi_loss: -740.170,  theta_loss: 2654.365,  ess: 1.824
(324s) phi_loss: -759.504,  theta_loss: 3975.535,  ess: 1.881
(321s) phi_loss: -761.839,  theta_loss: 4175.738,  ess: 1.848
(322s) phi_loss: -759.676,  theta_loss: 2936.782,  ess: 1.897
(322s) phi_loss: -755.529,  theta_loss: 2538.262,  ess: 1.867
(321s) phi_loss: -764.503,  theta_loss: 2450.131,  ess: 1.881
(322s) phi_loss: -775.219,  theta_loss: 2953.092,  ess: 1.900
(322s) phi_loss: -778.418,  theta_loss: 2464.001,  ess: 1.897
(323s) phi_loss: -795.810,  theta_loss: 3301.729,  ess: 1.926
(323s) phi_loss: -796.346,  theta_loss: 2450.152,  ess: 1.935
(323s) phi_loss: -810.161,  theta_loss: 2561.035,  ess: 1.948
(325s) phi_loss: -822.834,  theta_loss: 2475.385,  ess: 1.954
(323s) phi_loss: -834.101,  theta_loss: 2462.899,  ess: 2.011
(324s) phi_loss: -842.460,  theta_loss: 2004.598,  ess: 2.035
(328s) phi_loss: -850.620,  theta_loss: 1952.352,  ess: 2.056
(328s) phi_loss: -859.426,  theta_loss: 1982.136,  ess: 2.060
(326s) phi_loss: -868.350,  theta_loss: 1954.788,  ess: 2.100
(324s) phi_loss: -878.968,  theta_loss: 2010.323,  ess: 2.091
(327s) phi_loss: -885.040,  theta_loss: 2009.314,  ess: 2.077
(332s) phi_loss: -894.002,  theta_loss: 2791.354,  ess: 2.142
(325s) phi_loss: -898.987,  theta_loss: 1943.269,  ess: 2.143
(323s) phi_loss: -902.503,  theta_loss: 1939.230,  ess: 2.146
(321s) phi_loss: -907.806,  theta_loss: 1963.965,  ess: 2.176
(322s) phi_loss: -913.574,  theta_loss: 1904.531,  ess: 2.158
(326s) phi_loss: -919.416,  theta_loss: 2031.856,  ess: 2.166
(328s) phi_loss: -925.650,  theta_loss: 1836.364,  ess: 2.221
(328s) phi_loss: -931.501,  theta_loss: 2282.427,  ess: 2.217
(328s) phi_loss: -935.683,  theta_loss: 1811.922,  ess: 2.231
(326s) phi_loss: -941.663,  theta_loss: 2036.069,  ess: 2.234
(327s) phi_loss: -944.885,  theta_loss: 1794.275,  ess: 2.237
(326s) phi_loss: -953.248,  theta_loss: 1763.976,  ess: 2.228
(330s) phi_loss: -957.296,  theta_loss: 1774.985,  ess: 2.248
(325s) phi_loss: -961.875,  theta_loss: 1759.435,  ess: 2.255
(329s) phi_loss: -965.582,  theta_loss: 1846.779,  ess: 2.261
(325s) phi_loss: -970.379,  theta_loss: 1781.834,  ess: 2.282
(322s) phi_loss: -973.435,  theta_loss: 1741.597,  ess: 2.280
(321s) phi_loss: -976.130,  theta_loss: 1772.290,  ess: 2.290
(321s) phi_loss: -982.400,  theta_loss: 1715.112,  ess: 2.288
(323s) phi_loss: -989.360,  theta_loss: 1714.080,  ess: 2.284
(322s) phi_loss: -990.631,  theta_loss: 1743.261,  ess: 2.303
(321s) phi_loss: -993.899,  theta_loss: 1850.283,  ess: 2.327
(322s) phi_loss: -992.094,  theta_loss: 1770.429,  ess: 2.322
(322s) phi_loss: -1003.389,  theta_loss: 1724.935,  ess: 2.336
(322s) phi_loss: -1005.453,  theta_loss: 1696.717,  ess: 2.333
(322s) phi_loss: -1005.455,  theta_loss: 1712.549,  ess: 2.333
(322s) phi_loss: -1014.107,  theta_loss: 1690.681,  ess: 2.338
(322s) phi_loss: -1015.515,  theta_loss: 1698.196,  ess: 2.342
(322s) phi_loss: -1016.093,  theta_loss: 2079.869,  ess: 2.360
(322s) phi_loss: -1019.454,  theta_loss: 1768.952,  ess: 2.363
(322s) phi_loss: -1023.494,  theta_loss: 1694.789,  ess: 2.383
(321s) phi_loss: -1024.762,  theta_loss: 1702.421,  ess: 2.387
