(18s) Epoch=0, Group=0, loss_phi: 85.6573,  loss_theta: 9788.4231,  ess: 1.0038,  density: -12749.6031
(17s) Epoch=0, Group=1, loss_phi: 70.6096,  loss_theta: 8715.8942,  ess: 1.0042,  density: -11336.9666
(17s) Epoch=0, Group=2, loss_phi: 57.0383,  loss_theta: 8167.3127,  ess: 1.0060,  density: -10413.8153
(17s) Epoch=0, Group=3, loss_phi: 54.5556,  loss_theta: 8040.3084,  ess: 1.0076,  density: -10197.9565
(17s) Epoch=0, Group=4, loss_phi: 53.6576,  loss_theta: 8082.9684,  ess: 1.0049,  density: -10244.6818
(17s) Epoch=0, Group=5, loss_phi: 52.9862,  loss_theta: 8022.9714,  ess: 1.0047,  density: -10138.4661
(17s) Epoch=0, Group=6, loss_phi: 52.4942,  loss_theta: 7961.7748,  ess: 1.0058,  density: -10090.9195
(17s) Epoch=0, Group=7, loss_phi: 52.0198,  loss_theta: 7866.3218,  ess: 1.0029,  density: -9995.0942
(17s) Epoch=0, Group=8, loss_phi: 51.3249,  loss_theta: 7789.5879,  ess: 1.0049,  density: -9912.5356
(17s) Epoch=0, Group=9, loss_phi: 51.1449,  loss_theta: 7674.0645,  ess: 1.0035,  density: -9833.3244
(17s) Epoch=1, Group=0, loss_phi: 47.1418,  loss_theta: 7432.1592,  ess: 1.0032,  density: -9538.0508
(17s) Epoch=1, Group=1, loss_phi: 43.6499,  loss_theta: 7003.3193,  ess: 1.0046,  density: -9072.8816
(17s) Epoch=1, Group=2, loss_phi: 37.9275,  loss_theta: 6605.2662,  ess: 1.0049,  density: -8596.1020
(19s) Epoch=1, Group=3, loss_phi: 32.2781,  loss_theta: 6148.8385,  ess: 1.0044,  density: -8055.9967
(20s) Epoch=1, Group=4, loss_phi: 23.6062,  loss_theta: 5611.5139,  ess: 1.0038,  density: -7419.2658
(20s) Epoch=1, Group=5, loss_phi: 17.5626,  loss_theta: 5273.3411,  ess: 1.0047,  density: -6999.3034
(20s) Epoch=1, Group=6, loss_phi: 15.3053,  loss_theta: 4970.6592,  ess: 1.0036,  density: -6699.9749
(20s) Epoch=1, Group=7, loss_phi: 7.6737,  loss_theta: 4826.5655,  ess: 1.0040,  density: -6418.9042
(20s) Epoch=1, Group=8, loss_phi: 4.7917,  loss_theta: 4470.9074,  ess: 1.0031,  density: -6036.3099
